CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
Mozambique,MOZ,,,2020-06-01,3.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Mauritania,MRT,,,2020-06-01,3.0,1.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
Montserrat,MSR,,,2020-06-01,3.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0,,,,1.0,2.0,2.0,,,0.0
Mauritius,MUS,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Malawi,MWI,,,2020-06-01,3.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0
Malaysia,MYS,,,2020-06-01,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0
Namibia,NAM,,,2020-06-01,2.0,2.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
Niger,NER,,,2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Nigeria,NGA,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Nicaragua,NIC,,,2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Netherlands,NLD,,,2020-06-01,2.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Norway,NOR,,,2020-06-01,0.0,2.0,2.0,3.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Nepal,NPL,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
